file,slope_bin,elevation_bin,slope_angle_deg,midpoint_elevation_ft,rise_ft
BradleyMountain2019-06-13.gpx,0-10,8000-9500,1.432,8686,-3.28
BradleyMountain2019-06-13.gpx,0-10,8000-9500,0.0,8684,0.0
BradleyMountain2019-06-13.gpx,0-10,8000-9500,0.0,8684,0.0
BradleyMountain2019-06-13.gpx,0-10,8000-9500,0.0,8684,0.0
BradleyMountain2019-06-13.gpx,0-10,8000-9500,4.289,8689,9.84
BradleyMountain2019-06-13.gpx,0-10,8000-9500,5.934,8701,13.64
BradleyMountain2019-06-13.gpx,10-20,8000-9500,13.306,8723,31.04
BradleyMountain2019-06-13.gpx,0-10,8000-9500,8.694,8749,20.07
BradleyMountain2019-06-13.gpx,0-10,8000-9500,7.5,8768,17.28
BradleyMountain2019-06-13.gpx,10-20,8000-9500,10.893,8789,25.26
BradleyMountain2019-06-13.gpx,10-20,8000-9500,14.214,8818,33.24
BradleyMountain2019-06-13.gpx,10-20,8000-9500,13.614,8851,31.78
BradleyMountain2019-06-13.gpx,10-20,8000-9500,14.2,8883,33.21
BradleyMountain2019-06-13.gpx,10-20,8000-9500,16.024,8919,37.69
BradleyMountain2019-06-13.gpx,10-20,8000-9500,19.129,8960,45.52
BradleyMountain2019-06-13.gpx,0-10,8000-9500,7.125,8991,16.4
BradleyMountain2019-06-13.gpx,0-10,8000-9500,1.432,8998,-3.28
BradleyMountain2019-06-13.gpx,0-10,8000-9500,1.432,8998,3.28
BradleyMountain2019-06-13.gpx,0-10,8000-9500,4.781,9005,10.98
BradleyMountain2019-06-13.gpx,0-10,8000-9500,7.214,9019,16.61
BradleyMountain2019-06-13.gpx,0-10,8000-9500,6.988,9035,16.08
BradleyMountain2019-06-13.gpx,0-10,8000-9500,8.094,9052,18.66
BradleyMountain2019-06-13.gpx,0-10,8000-9500,5.665,9068,13.02
BradleyMountain2019-06-13.gpx,0-10,8000-9500,1.478,9076,3.39
BradleyMountain2019-06-13.gpx,0-10,8000-9500,0.248,9078,0.57
BradleyMountain2019-06-13.gpx,0-10,8000-9500,4.043,9083,9.28
BradleyMountain2019-06-13.gpx,0-10,8000-9500,3.239,9092,7.43
BradleyMountain2019-06-13.gpx,0-10,8000-9500,5.053,9101,11.6
BradleyMountain2019-06-13.gpx,0-10,8000-9500,8.81,9117,20.34
BradleyMountain2019-06-13.gpx,10-20,8000-9500,11.25,9140,26.1
BradleyMountain2019-06-13.gpx,10-20,8000-9500,11.37,9167,26.39
BradleyMountain2019-06-13.gpx,10-20,8000-9500,13.319,9195,31.07
BradleyMountain2019-06-13.gpx,0-10,8000-9500,7.938,9220,18.3
BradleyMountain2019-06-13.gpx,10-20,8000-9500,17.105,9249,40.39
BradleyMountain2019-06-13.gpx,10-20,8000-9500,11.634,9283,27.02
BradleyMountain2019-06-13.gpx,0-10,8000-9500,0.585,9297,1.34
BradleyMountain2019-06-13.gpx,0-10,8000-9500,0.0,9298,0.0
BradleyMountain2019-06-13.gpx,0-10,8000-9500,1.024,9299,2.35
BradleyMountain2019-06-13.gpx,0-10,8000-9500,2.455,9297,-5.63
BradleyMountain2019-06-13.gpx,0-10,8000-9500,8.675,9285,-20.02
BradleyMountain2019-06-13.gpx,10-20,8000-9500,13.051,9259,-30.42
BradleyMountain2019-06-13.gpx,0-10,8000-9500,8.525,9234,-19.67
BradleyMountain2019-06-13.gpx,10-20,8000-9500,11.87,9211,-27.58
BradleyMountain2019-06-13.gpx,10-20,8000-9500,17.192,9177,-40.6
BradleyMountain2019-06-13.gpx,10-20,8000-9500,15.816,9138,-37.18
BradleyMountain2019-06-13.gpx,0-10,8000-9500,7.849,9110,-18.09
BradleyMountain2019-06-13.gpx,0-10,8000-9500,4.844,9095,-11.12
BradleyMountain2019-06-13.gpx,0-10,8000-9500,5.157,9084,-11.84
BradleyMountain2019-06-13.gpx,0-10,8000-9500,1.432,9076,-3.28
BradleyMountain2019-06-13.gpx,0-10,8000-9500,1.432,9073,-3.28
BradleyMountain2019-06-13.gpx,0-10,8000-9500,4.289,9067,-9.84
BradleyMountain2019-06-13.gpx,0-10,8000-9500,4.289,9057,-9.84
BradleyMountain2019-06-13.gpx,0-10,8000-9500,8.029,9043,-18.51
BradleyMountain2019-06-13.gpx,0-10,8000-9500,8.294,9024,-19.13
BradleyMountain2019-06-13.gpx,0-10,8000-9500,6.958,9006,-16.02
BradleyMountain2019-06-13.gpx,0-10,8000-9500,2.355,8995,-5.4
BradleyMountain2019-06-13.gpx,0-10,8000-9500,2.862,8990,-6.56
BradleyMountain2019-06-13.gpx,0-10,8000-9500,6.465,8979,-14.87
BradleyMountain2019-06-13.gpx,10-20,8000-9500,11.851,8958,-27.54
BradleyMountain2019-06-13.gpx,10-20,8000-9500,14.215,8927,-33.24
BradleyMountain2019-06-13.gpx,10-20,8000-9500,13.921,8894,-32.53
BradleyMountain2019-06-13.gpx,10-20,8000-9500,14.526,8861,-34.0
BradleyMountain2019-06-13.gpx,10-20,8000-9500,12.758,8829,-29.71
BradleyMountain2019-06-13.gpx,10-20,8000-9500,10.766,8802,-24.95
BradleyMountain2019-06-13.gpx,0-10,8000-9500,9.3,8779,-21.49
